actorId,actorName
1130,Lindsay Crouse
1131,Marilyn Monroe
1132,Rubén Blades
1133,Jeff Goldblum
1134,Chris O'Donnell
1135,Jessica Hamilton
1136,Noah Emmerich
1137,Antony Sher
1138,Lara Flynn Boyle
1139,Janet Jackson
1140,Peter O'Toole
1141,Keith David
1142,Ingeborga Dapkunaite
1143,Aidan Quinn
1144,Arnold Schwarzenegger
1145,Valérie Lemercier
1146,Hetta Charnley
1147,Kim Cattrall
1148,Sela Ward
1149,Ingrid Bergman
1150,Daryl Hannah
1151,Lauren Holly
1152,Myriam Niang
1153,Mark Hosler
1154,Gregory Harrison
1155,Orson Welles
1156,Meret Becker
1157,Anthony Higgins
1158,Al Freeman Jr.
1159,Wendy Hughes
1160,Brenda Fricker
1161,Christoph M. Ohrt
1162,Rick Moranis
1163,Georgina Cates
1164,Carma Hinton
1165,Vivien Leigh
1166,Richard Norton
1167,Andy Dick
1168,John Matshikiza
1169,Suzzanne Douglas
1170,Robert Englund
1171,Jon Robin Baitz
1172,Duane Martin
1173,Darlanne Fluegel
1174,Chung-Hua Tou
1175,Brad Renfro
1176,James Gandolfini
1177,Leon Schuster
1178,Dominique Sanda
1179,Anica Dobra
1180,Félicie Pasotti
1181,Olivia de Havilland
1182,Alice Brady
1183,Ian McKellen
1184,Denzel Washington
1185,Steven Weber
1186,Rick Johnson
1187,Patrick Bauchau
1188,Lisa Thornhill
1189,Richard E. Grant
1190,Lorraine Devon Wilke
1191,Christian Päffgen
1192,Daniel Pollock
1193,Dennis Goldson
1194,Lesley Sharp
1195,David Morse
1196,Jeremy Clyde
1197,Jean Yanne
1198,Lloyd Dunn
1199,Lane Smith
1200,Charles Boyer
1201,Daniel McVicar
1202,Christian Slater
1203,Anthony LaPaglia
1204,Forest Whitaker
1205,Johnathon Schaech
1206,Maurice Chevalier
1207,Luke Perry
1208,Assumpta Serna
1209,Julian Fellowes
1210,Elijah Wood
1211,Isabelle Huppert
1212,Kang-sheng Lee
1213,Morgan Freeman
1214,Meryl Streep
1215,Polly Walker
1216,Jane Curtin
1217,Maggie Cogan
1218,Linden Ashby
1219,Alfre Woodard
1220,John Hurt
1221,James Hong
1222,Donald O'Connor
1223,Nia Long
1224,Marilyn Ghigliotti
1225,María Casares
1226,Mary Kay Place
1227,Alan Alda
